
time 00h 55m 04s, episodes 5877, frames 1.092388M, mean epr 13.01, run loss 2532.03
time 00h 55m 14s, episodes 5881, frames 1.096002M, mean epr -120.91, run loss 1733.98
time 00h 55m 26s, episodes 5893, frames 1.100066M, mean epr -99.20, run loss 2641.96
time 00h 55m 36s, episodes 5908, frames 1.103585M, mean epr -225.97, run loss 3550.58
time 00h 55m 46s, episodes 5920, frames 1.107102M, mean epr -159.54, run loss 3340.56
time 00h 55m 57s, episodes 5934, frames 1.110678M, mean epr 198.71, run loss 3794.46
time 00h 56m 07s, episodes 5949, frames 1.114133M, mean epr -16.23, run loss 2850.00
time 00h 56m 19s, episodes 5968, frames 1.118249M, mean epr 56.80, run loss 1328.66
time 00h 56m 30s, episodes 5985, frames 1.122070M, mean epr -42.33, run loss 1791.70
time 00h 56m 42s, episodes 5997, frames 1.126226M, mean epr -208.31, run loss 2028.83
time 00h 56m 52s, episodes 6005, frames 1.129789M, mean epr 228.35, run loss 3432.12
time 00h 57m 04s, episodes 6020, frames 1.133585M, mean epr -1.27, run loss 2471.39
time 00h 57m 15s, episodes 6034, frames 1.137331M, mean epr -66.84, run loss 3710.15
time 00h 57m 26s, episodes 6050, frames 1.140993M, mean epr -122.45, run loss 1393.08
time 00h 57m 38s, episodes 6066, frames 1.144803M, mean epr -3.24, run loss 1366.48
time 00h 57m 50s, episodes 6080, frames 1.149140M, mean epr -36.08, run loss 2305.00
time 00h 58m 01s, episodes 6094, frames 1.152881M, mean epr -155.76, run loss 1302.21
time 00h 58m 11s, episodes 6107, frames 1.156459M, mean epr -37.25, run loss 2677.95
time 00h 58m 21s, episodes 6125, frames 1.159949M, mean epr 33.26, run loss 1920.55
time 00h 58m 31s, episodes 6138, frames 1.163409M, mean epr -178.37, run loss 4199.06
time 00h 58m 43s, episodes 6152, frames 1.167432M, mean epr 78.81, run loss 1884.87
time 00h 58m 53s, episodes 6166, frames 1.170981M, mean epr -1.91, run loss 1883.74
time 00h 59m 03s, episodes 6177, frames 1.174836M, mean epr 27.13, run loss 2196.35
time 00h 59m 14s, episodes 6186, frames 1.178321M, mean epr 287.24, run loss 2473.13
time 00h 59m 24s, episodes 6194, frames 1.181750M, mean epr 219.33, run loss 4024.47
time 00h 59m 35s, episodes 6204, frames 1.185225M, mean epr -26.34, run loss 3820.52
time 00h 59m 45s, episodes 6213, frames 1.188765M, mean epr 3.15, run loss 1685.90
time 00h 59m 55s, episodes 6220, frames 1.192214M, mean epr 9.97, run loss 1431.43
time 01h 00m 05s, episodes 6235, frames 1.195654M, mean epr -157.47, run loss 2077.51
time 01h 00m 16s, episodes 6242, frames 1.199190M, mean epr -57.38, run loss 2847.98
time 01h 00m 27s, episodes 6249, frames 1.202888M, mean epr -83.82, run loss 3979.45
time 01h 00m 38s, episodes 6255, frames 1.206655M, mean epr -178.24, run loss 2364.95
time 01h 00m 48s, episodes 6268, frames 1.210155M, mean epr 10.21, run loss 2905.04
time 01h 00m 59s, episodes 6276, frames 1.213857M, mean epr -121.33, run loss 3364.11
time 01h 01m 10s, episodes 6285, frames 1.217469M, mean epr 227.75, run loss 3539.75
time 01h 01m 21s, episodes 6294, frames 1.221181M, mean epr -194.36, run loss 3318.20
time 01h 01m 31s, episodes 6301, frames 1.224767M, mean epr -305.78, run loss 4788.63
time 01h 01m 41s, episodes 6309, frames 1.228309M, mean epr -107.43, run loss 4032.39
time 01h 01m 52s, episodes 6317, frames 1.231868M, mean epr -66.97, run loss 2999.99
time 01h 02m 02s, episodes 6323, frames 1.235347M, mean epr -128.03, run loss 3518.15
time 01h 02m 13s, episodes 6338, frames 1.239237M, mean epr 171.95, run loss 4831.41
time 01h 02m 24s, episodes 6350, frames 1.243249M, mean epr 6.92, run loss 2940.16
time 01h 02m 35s, episodes 6364, frames 1.246857M, mean epr -46.50, run loss 2966.81
time 01h 02m 46s, episodes 6378, frames 1.250633M, mean epr 14.89, run loss 3073.76
time 01h 02m 56s, episodes 6393, frames 1.254178M, mean epr -160.55, run loss 1814.72
time 01h 03m 06s, episodes 6408, frames 1.257643M, mean epr 23.32, run loss 1636.13
time 01h 03m 17s, episodes 6427, frames 1.261520M, mean epr 250.90, run loss 1746.53
time 01h 03m 27s, episodes 6435, frames 1.264804M, mean epr -22.42, run loss 1164.49
time 01h 03m 39s, episodes 6447, frames 1.268724M, mean epr -20.43, run loss 1713.90
time 01h 03m 49s, episodes 6458, frames 1.272410M, mean epr -51.92, run loss 2142.25
time 01h 04m 00s, episodes 6471, frames 1.275893M, mean epr 225.02, run loss 1922.77
time 01h 04m 10s, episodes 6484, frames 1.279216M, mean epr -15.47, run loss 2936.84
time 01h 04m 21s, episodes 6493, frames 1.283278M, mean epr -74.74, run loss 3405.79
time 01h 04m 31s, episodes 6511, frames 1.286851M, mean epr -50.80, run loss 2669.79
time 01h 04m 41s, episodes 6524, frames 1.290448M, mean epr 241.11, run loss 2965.12
time 01h 04m 51s, episodes 6530, frames 1.294018M, mean epr 246.41, run loss 3274.49
time 01h 05m 01s, episodes 6538, frames 1.297638M, mean epr -24.51, run loss 2402.69
time 01h 05m 11s, episodes 6549, frames 1.301108M, mean epr -74.44, run loss 3172.75
time 01h 05m 21s, episodes 6560, frames 1.304484M, mean epr 50.56, run loss 2235.87
time 01h 05m 33s, episodes 6569, frames 1.308193M, mean epr -1.47, run loss 3935.26
time 01h 05m 43s, episodes 6577, frames 1.311650M, mean epr 15.27, run loss 2082.20
time 01h 05m 54s, episodes 6581, frames 1.315442M, mean epr -32.13, run loss 3056.32
time 01h 06m 04s, episodes 6593, frames 1.319106M, mean epr 216.60, run loss 2760.64
time 01h 06m 15s, episodes 6613, frames 1.322861M, mean epr -290.88, run loss 4287.51
time 01h 06m 27s, episodes 6627, frames 1.326923M, mean epr -254.04, run loss 2178.63
time 01h 06m 37s, episodes 6636, frames 1.330390M, mean epr -55.93, run loss 3449.04
time 01h 06m 47s, episodes 6639, frames 1.333733M, mean epr 39.92, run loss 3466.41
time 01h 06m 57s, episodes 6656, frames 1.337104M, mean epr -76.26, run loss 2557.53
time 01h 07m 08s, episodes 6667, frames 1.341058M, mean epr 10.55, run loss 2289.92
time 01h 07m 19s, episodes 6678, frames 1.344577M, mean epr -99.25, run loss 2805.89
time 01h 07m 29s, episodes 6680, frames 1.348227M, mean epr -12.91, run loss 4120.54
time 01h 07m 39s, episodes 6688, frames 1.351665M, mean epr 11.03, run loss 2263.38
time 01h 07m 49s, episodes 6694, frames 1.355112M, mean epr 284.73, run loss 1607.04
time 01h 07m 59s, episodes 6706, frames 1.358450M, mean epr 217.23, run loss 2925.98
time 01h 08m 09s, episodes 6712, frames 1.361850M, mean epr -69.91, run loss 3872.88
time 01h 08m 20s, episodes 6715, frames 1.365496M, mean epr 179.91, run loss 2232.97
time 01h 08m 30s, episodes 6724, frames 1.368969M, mean epr 279.74, run loss 2329.48
time 01h 08m 41s, episodes 6732, frames 1.372430M, mean epr 30.62, run loss 2630.73
time 01h 08m 51s, episodes 6739, frames 1.376150M, mean epr 252.77, run loss 3770.44
time 01h 09m 02s, episodes 6743, frames 1.379748M, mean epr -12.92, run loss 3061.56
time 01h 09m 14s, episodes 6749, frames 1.383537M, mean epr 250.48, run loss 2723.32
time 01h 09m 25s, episodes 6753, frames 1.387391M, mean epr -3.62, run loss 1928.25
time 01h 09m 36s, episodes 6759, frames 1.391018M, mean epr 247.40, run loss 4355.49
time 01h 09m 48s, episodes 6770, frames 1.394795M, mean epr -344.35, run loss 7587.95
time 01h 09m 58s, episodes 6786, frames 1.398315M, mean epr -88.79, run loss 4601.31
time 01h 10m 08s, episodes 6794, frames 1.401762M, mean epr 13.87, run loss 2342.24
time 01h 10m 18s, episodes 6805, frames 1.405294M, mean epr 178.63, run loss 3113.92
time 01h 10m 28s, episodes 6812, frames 1.408578M, mean epr -4.75, run loss 2252.54
time 01h 10m 38s, episodes 6825, frames 1.411995M, mean epr 42.83, run loss 1859.19
time 01h 10m 48s, episodes 6838, frames 1.415436M, mean epr 251.37, run loss 2474.60
time 01h 10m 59s, episodes 6853, frames 1.418864M, mean epr -5.72, run loss 1688.65
time 01h 11m 09s, episodes 6865, frames 1.422490M, mean epr -21.30, run loss 3917.06
time 01h 11m 19s, episodes 6879, frames 1.426034M, mean epr -11.05, run loss 2365.79
time 01h 11m 29s, episodes 6887, frames 1.429386M, mean epr -25.39, run loss 1575.03
time 01h 11m 39s, episodes 6896, frames 1.432955M, mean epr -218.63, run loss 2264.07
time 01h 11m 50s, episodes 6905, frames 1.436363M, mean epr -32.39, run loss 2834.19
time 01h 12m 00s, episodes 6923, frames 1.439877M, mean epr -151.48, run loss 3578.02
time 01h 12m 11s, episodes 6935, frames 1.443705M, mean epr 67.94, run loss 813.34
time 01h 12m 21s, episodes 6945, frames 1.447109M, mean epr 230.23, run loss 4723.46
time 01h 12m 31s, episodes 6956, frames 1.450627M, mean epr -41.55, run loss 3116.38
time 01h 12m 42s, episodes 6973, frames 1.454470M, mean epr -26.27, run loss 2860.61
time 01h 12m 53s, episodes 6984, frames 1.458082M, mean epr 31.04, run loss 895.00
time 01h 13m 03s, episodes 6997, frames 1.461718M, mean epr -18.17, run loss 3354.73
time 01h 13m 13s, episodes 7006, frames 1.465174M, mean epr 11.40, run loss 3083.28
time 01h 13m 23s, episodes 7015, frames 1.468516M, mean epr 6.56, run loss 2094.14
time 01h 13m 33s, episodes 7027, frames 1.471938M, mean epr 185.27, run loss 3572.06
time 01h 13m 43s, episodes 7036, frames 1.475532M, mean epr -237.97, run loss 3952.18
time 01h 13m 54s, episodes 7041, frames 1.479086M, mean epr -17.63, run loss 3163.70
time 01h 14m 04s, episodes 7050, frames 1.482539M, mean epr 32.68, run loss 1579.47
time 01h 14m 14s, episodes 7056, frames 1.485937M, mean epr -33.22, run loss 3192.42
time 01h 14m 25s, episodes 7061, frames 1.489619M, mean epr -254.79, run loss 5075.45
time 01h 14m 35s, episodes 7067, frames 1.492943M, mean epr -269.20, run loss 3423.37
time 01h 14m 46s, episodes 7069, frames 1.496485M, mean epr -34.94, run loss 2792.71
time 01h 14m 56s, episodes 7077, frames 1.500026M, mean epr 85.88, run loss 1434.69
time 01h 15m 07s, episodes 7085, frames 1.503629M, mean epr -86.47, run loss 3642.06
time 01h 15m 19s, episodes 7110, frames 1.507656M, mean epr 218.24, run loss 3660.25
time 01h 15m 30s, episodes 7123, frames 1.511147M, mean epr -32.92, run loss 2501.28
time 01h 15m 40s, episodes 7135, frames 1.514707M, mean epr 14.93, run loss 2003.55
time 01h 15m 50s, episodes 7151, frames 1.518213M, mean epr -113.61, run loss 2766.83
time 01h 16m 00s, episodes 7167, frames 1.521733M, mean epr -75.24, run loss 1387.35
time 01h 16m 13s, episodes 7183, frames 1.525748M, mean epr -206.66, run loss 1164.27
time 01h 16m 23s, episodes 7199, frames 1.529256M, mean epr -50.70, run loss 1978.09
time 01h 16m 33s, episodes 7206, frames 1.532718M, mean epr 262.37, run loss 3389.09
time 01h 16m 43s, episodes 7215, frames 1.536190M, mean epr -179.97, run loss 3059.26
time 01h 16m 53s, episodes 7224, frames 1.539649M, mean epr -272.74, run loss 3018.66
time 01h 17m 03s, episodes 7239, frames 1.543066M, mean epr -236.96, run loss 3086.79
time 01h 17m 14s, episodes 7251, frames 1.546977M, mean epr 171.15, run loss 4144.44
time 01h 17m 24s, episodes 7262, frames 1.550449M, mean epr -171.94, run loss 2908.79
time 01h 17m 35s, episodes 7274, frames 1.554144M, mean epr -166.88, run loss 2589.95
time 01h 17m 45s, episodes 7278, frames 1.557634M, mean epr 50.48, run loss 2029.87
time 01h 17m 55s, episodes 7290, frames 1.561044M, mean epr -4.36, run loss 4013.40
time 01h 18m 06s, episodes 7304, frames 1.564428M, mean epr -10.00, run loss 2361.84
time 01h 18m 16s, episodes 7315, frames 1.568115M, mean epr 37.28, run loss 2015.16
time 01h 18m 27s, episodes 7328, frames 1.571601M, mean epr 287.89, run loss 2002.57
time 01h 18m 38s, episodes 7339, frames 1.575168M, mean epr -26.20, run loss 2582.10
time 01h 18m 50s, episodes 7353, frames 1.579336M, mean epr 267.70, run loss 5032.79
time 01h 19m 00s, episodes 7368, frames 1.582656M, mean epr -74.37, run loss 2843.58
time 01h 19m 10s, episodes 7378, frames 1.586177M, mean epr 256.10, run loss 2231.26
time 01h 19m 20s, episodes 7387, frames 1.589601M, mean epr -12.80, run loss 2413.55
time 01h 19m 31s, episodes 7402, frames 1.593146M, mean epr 55.95, run loss 2819.52
time 01h 19m 41s, episodes 7412, frames 1.596837M, mean epr -39.13, run loss 1631.12
time 01h 19m 51s, episodes 7423, frames 1.600241M, mean epr -11.05, run loss 2492.33
time 01h 20m 02s, episodes 7432, frames 1.603546M, mean epr -247.67, run loss 3617.52
time 01h 20m 12s, episodes 7441, frames 1.606815M, mean epr -4.54, run loss 2616.95
time 01h 20m 22s, episodes 7461, frames 1.610458M, mean epr -0.64, run loss 2340.21
time 01h 20m 34s, episodes 7478, frames 1.614582M, mean epr 31.90, run loss 1413.37
time 01h 20m 45s, episodes 7485, frames 1.618397M, mean epr -27.74, run loss 1763.73
time 01h 20m 56s, episodes 7502, frames 1.622034M, mean epr 0.56, run loss 3478.25
time 01h 21m 07s, episodes 7511, frames 1.625736M, mean epr -190.04, run loss 3862.55
time 01h 21m 17s, episodes 7523, frames 1.629198M, mean epr 262.28, run loss 2906.41
time 01h 21m 27s, episodes 7533, frames 1.632654M, mean epr -168.50, run loss 3775.82
time 01h 21m 37s, episodes 7539, frames 1.636026M, mean epr -123.82, run loss 4402.60
time 01h 21m 47s, episodes 7552, frames 1.639701M, mean epr -40.88, run loss 2731.45
time 01h 21m 57s, episodes 7565, frames 1.643235M, mean epr 244.10, run loss 4473.10
time 01h 22m 07s, episodes 7576, frames 1.646803M, mean epr 54.20, run loss 2171.12
time 01h 22m 17s, episodes 7586, frames 1.650200M, mean epr 10.75, run loss 2860.48
time 01h 22m 28s, episodes 7595, frames 1.653752M, mean epr -48.32, run loss 3258.57
time 01h 22m 38s, episodes 7609, frames 1.657306M, mean epr 31.74, run loss 3089.44
time 01h 22m 48s, episodes 7614, frames 1.660667M, mean epr -27.04, run loss 3105.99
time 01h 22m 59s, episodes 7626, frames 1.664322M, mean epr 236.08, run loss 4077.24
time 01h 23m 11s, episodes 7634, frames 1.668092M, mean epr -34.07, run loss 2713.26
time 01h 23m 21s, episodes 7650, frames 1.671665M, mean epr -21.69, run loss 3287.02
time 01h 23m 33s, episodes 7664, frames 1.675835M, mean epr -18.49, run loss 1715.37
time 01h 23m 43s, episodes 7677, frames 1.679480M, mean epr 17.05, run loss 1720.70
time 01h 23m 54s, episodes 7686, frames 1.683517M, mean epr -137.75, run loss 2286.13
time 01h 24m 06s, episodes 7701, frames 1.687683M, mean epr 206.87, run loss 3674.00
time 01h 24m 17s, episodes 7711, frames 1.691249M, mean epr -7.40, run loss 2862.69
time 01h 24m 27s, episodes 7717, frames 1.694515M, mean epr -115.01, run loss 2874.71
time 01h 24m 37s, episodes 7730, frames 1.698039M, mean epr 63.21, run loss 1287.02
time 01h 24m 47s, episodes 7744, frames 1.701270M, mean epr 258.34, run loss 2330.13
time 01h 24m 57s, episodes 7750, frames 1.704612M, mean epr 6.30, run loss 2214.73
time 01h 25m 07s, episodes 7760, frames 1.708037M, mean epr 43.75, run loss 1951.59
time 01h 25m 17s, episodes 7765, frames 1.711496M, mean epr 11.02, run loss 1912.01
time 01h 25m 27s, episodes 7788, frames 1.714966M, mean epr 277.64, run loss 2282.96
time 01h 25m 38s, episodes 7794, frames 1.718386M, mean epr 314.38, run loss 2062.91
time 01h 25m 49s, episodes 7803, frames 1.722211M, mean epr -156.45, run loss 2731.19
time 01h 25m 59s, episodes 7811, frames 1.725899M, mean epr 8.79, run loss 2647.01
time 01h 26m 10s, episodes 7832, frames 1.729485M, mean epr -56.80, run loss 3185.23
time 01h 26m 21s, episodes 7840, frames 1.733187M, mean epr 6.71, run loss 2972.00
time 01h 26m 32s, episodes 7847, frames 1.736943M, mean epr -211.03, run loss 4443.81
time 01h 26m 44s, episodes 7862, frames 1.740901M, mean epr -4.91, run loss 1544.84
time 01h 26m 54s, episodes 7869, frames 1.744157M, mean epr 13.80, run loss 2170.72
time 01h 27m 04s, episodes 7884, frames 1.747711M, mean epr -15.15, run loss 2941.69
time 01h 27m 14s, episodes 7896, frames 1.751121M, mean epr 11.16, run loss 3139.94
time 01h 27m 25s, episodes 7913, frames 1.754766M, mean epr 40.65, run loss 4492.20
time 01h 27m 35s, episodes 7922, frames 1.758219M, mean epr -120.64, run loss 3212.45
time 01h 27m 46s, episodes 7936, frames 1.761639M, mean epr -220.76, run loss 2702.02
time 01h 27m 58s, episodes 7952, frames 1.765853M, mean epr -34.67, run loss 2194.95
time 01h 28m 08s, episodes 7962, frames 1.769312M, mean epr -7.38, run loss 2110.89
time 01h 28m 20s, episodes 7972, frames 1.773316M, mean epr 205.70, run loss 2668.87
time 01h 28m 31s, episodes 7986, frames 1.776929M, mean epr -17.31, run loss 3008.16
time 01h 28m 41s, episodes 7997, frames 1.780489M, mean epr -216.66, run loss 5453.19
time 01h 28m 51s, episodes 8016, frames 1.783871M, mean epr 17.47, run loss 2586.10
time 01h 29m 03s, episodes 8027, frames 1.787912M, mean epr 241.89, run loss 4522.81
time 01h 29m 14s, episodes 8043, frames 1.791637M, mean epr -150.29, run loss 2806.93
time 01h 29m 24s, episodes 8053, frames 1.795209M, mean epr -156.36, run loss 3320.28
time 01h 29m 34s, episodes 8061, frames 1.798663M, mean epr 190.54, run loss 4388.48
time 01h 29m 44s, episodes 8077, frames 1.802061M, mean epr -147.98, run loss 2857.97
time 01h 29m 55s, episodes 8094, frames 1.805700M, mean epr 67.90, run loss 1382.97
time 01h 30m 05s, episodes 8110, frames 1.809291M, mean epr -31.20, run loss 2311.74
time 01h 30m 17s, episodes 8118, frames 1.813183M, mean epr -52.23, run loss 2706.44
time 01h 30m 27s, episodes 8129, frames 1.816562M, mean epr 286.98, run loss 2330.18
time 01h 30m 38s, episodes 8138, frames 1.820366M, mean epr 8.64, run loss 4367.18
time 01h 30m 49s, episodes 8150, frames 1.824111M, mean epr -43.81, run loss 4190.52
time 01h 30m 59s, episodes 8155, frames 1.827576M, mean epr -229.56, run loss 5884.60
time 01h 31m 09s, episodes 8163, frames 1.830890M, mean epr -234.62, run loss 3441.22
time 01h 31m 21s, episodes 8177, frames 1.834801M, mean epr -73.71, run loss 3460.63
time 01h 31m 31s, episodes 8188, frames 1.838271M, mean epr -131.74, run loss 3710.38
time 01h 31m 43s, episodes 8202, frames 1.842390M, mean epr -84.25, run loss 3941.10
time 01h 31m 53s, episodes 8216, frames 1.846110M, mean epr -57.07, run loss 3069.05
time 01h 32m 03s, episodes 8224, frames 1.849408M, mean epr -191.03, run loss 3640.31
time 01h 32m 13s, episodes 8236, frames 1.852830M, mean epr -225.70, run loss 4798.76
time 01h 32m 23s, episodes 8245, frames 1.856208M, mean epr -58.06, run loss 4873.41
time 01h 32m 33s, episodes 8251, frames 1.859511M, mean epr 7.52, run loss 2253.95
time 01h 32m 43s, episodes 8257, frames 1.862906M, mean epr -34.58, run loss 2476.00
time 01h 32m 53s, episodes 8260, frames 1.866208M, mean epr -190.45, run loss 5207.70
time 01h 33m 04s, episodes 8268, frames 1.869707M, mean epr -181.37, run loss 3722.00
time 01h 33m 14s, episodes 8285, frames 1.873216M, mean epr -209.56, run loss 4125.75
time 01h 33m 24s, episodes 8302, frames 1.876895M, mean epr -11.89, run loss 2423.91
time 01h 33m 35s, episodes 8307, frames 1.880718M, mean epr -33.21, run loss 2661.55
time 01h 33m 45s, episodes 8317, frames 1.884158M, mean epr 241.90, run loss 2949.86
time 01h 33m 55s, episodes 8327, frames 1.887684M, mean epr -144.50, run loss 2807.07
time 01h 34m 06s, episodes 8334, frames 1.891362M, mean epr 26.01, run loss 2789.98
time 01h 34m 17s, episodes 8345, frames 1.895065M, mean epr -251.30, run loss 4052.00
time 01h 34m 29s, episodes 8351, frames 1.898967M, mean epr -151.16, run loss 3673.17
time 01h 34m 41s, episodes 8367, frames 1.902903M, mean epr 246.06, run loss 4390.22
time 01h 34m 53s, episodes 8376, frames 1.906929M, mean epr 192.22, run loss 5255.84
time 01h 35m 03s, episodes 8384, frames 1.910353M, mean epr -226.23, run loss 3865.97
time 01h 35m 15s, episodes 8398, frames 1.914251M, mean epr -5.11, run loss 3070.92
time 01h 35m 25s, episodes 8405, frames 1.917498M, mean epr 206.34, run loss 3714.95
time 01h 35m 35s, episodes 8419, frames 1.920896M, mean epr -23.91, run loss 3258.84
time 01h 35m 46s, episodes 8427, frames 1.924673M, mean epr -181.64, run loss 5241.78
time 01h 35m 56s, episodes 8434, frames 1.928182M, mean epr 224.01, run loss 4434.61
time 01h 36m 07s, episodes 8451, frames 1.931758M, mean epr -149.75, run loss 3445.30
time 01h 36m 18s, episodes 8461, frames 1.935601M, mean epr -37.12, run loss 2824.37
time 01h 36m 29s, episodes 8467, frames 1.939189M, mean epr -2.22, run loss 1856.58
time 01h 36m 39s, episodes 8477, frames 1.942568M, mean epr 257.56, run loss 1780.16
time 01h 36m 49s, episodes 8484, frames 1.945901M, mean epr -27.43, run loss 3563.16
time 01h 36m 59s, episodes 8493, frames 1.949149M, mean epr -208.80, run loss 4936.51
time 01h 37m 10s, episodes 8502, frames 1.952678M, mean epr -55.31, run loss 5153.26
time 01h 37m 21s, episodes 8512, frames 1.956267M, mean epr -277.68, run loss 5769.83
time 01h 37m 31s, episodes 8522, frames 1.959629M, mean epr -10.98, run loss 3309.61
time 01h 37m 42s, episodes 8535, frames 1.963242M, mean epr -7.19, run loss 2079.12
time 01h 37m 52s, episodes 8545, frames 1.966574M, mean epr -15.75, run loss 2567.05
time 01h 38m 03s, episodes 8555, frames 1.970337M, mean epr -160.55, run loss 2070.70
time 01h 38m 13s, episodes 8565, frames 1.973685M, mean epr -90.02, run loss 1270.51
time 01h 38m 25s, episodes 8571, frames 1.977788M, mean epr 223.84, run loss 2013.87
time 01h 38m 35s, episodes 8584, frames 1.981099M, mean epr 59.70, run loss 10016.34
time 01h 38m 45s, episodes 8593, frames 1.984431M, mean epr -155.28, run loss 2652.80
time 01h 38m 55s, episodes 8607, frames 1.987769M, mean epr 253.01, run loss 2213.52
time 01h 39m 05s, episodes 8614, frames 1.991093M, mean epr 270.06, run loss 2409.62
time 01h 39m 15s, episodes 8623, frames 1.994451M, mean epr -32.42, run loss 1958.63
time 01h 39m 26s, episodes 8637, frames 1.998158M, mean epr -59.66, run loss 2784.08

	2M frames: saved model

time 01h 39m 36s, episodes 8648, frames 2.001674M, mean epr -28.68, run loss 2140.01
time 01h 39m 47s, episodes 8662, frames 2.005373M, mean epr 9.79, run loss 1707.09
time 01h 39m 58s, episodes 8673, frames 2.008803M, mean epr -195.83, run loss 4206.83
time 01h 40m 09s, episodes 8677, frames 2.012441M, mean epr -22.26, run loss 3934.24
time 01h 40m 19s, episodes 8683, frames 2.015907M, mean epr -321.86, run loss 3453.86
time 01h 40m 29s, episodes 8690, frames 2.019234M, mean epr 192.40, run loss 4111.61
time 01h 40m 39s, episodes 8696, frames 2.022490M, mean epr -223.09, run loss 4054.49
time 01h 40m 49s, episodes 8706, frames 2.025790M, mean epr -218.67, run loss 4517.82
time 01h 41m 01s, episodes 8722, frames 2.029670M, mean epr 88.66, run loss 2670.92
time 01h 41m 12s, episodes 8730, frames 2.033269M, mean epr 164.94, run loss 6245.04
time 01h 41m 23s, episodes 8736, frames 2.036793M, mean epr -277.68, run loss 5177.29
time 01h 41m 33s, episodes 8746, frames 2.040106M, mean epr -36.12, run loss 2292.82
time 01h 41m 45s, episodes 8751, frames 2.044007M, mean epr -217.03, run loss 4758.11
time 01h 41m 55s, episodes 8753, frames 2.047430M, mean epr -35.98, run loss 2642.63
time 01h 42m 05s, episodes 8754, frames 2.050764M, mean epr -41.17, run loss 3573.54
time 01h 42m 17s, episodes 8769, frames 2.054731M, mean epr 270.02, run loss 2878.78
time 01h 42m 27s, episodes 8780, frames 2.058026M, mean epr 0.61, run loss 2808.32
time 01h 42m 37s, episodes 8784, frames 2.061351M, mean epr 130.99, run loss 5815.41
time 01h 42m 47s, episodes 8793, frames 2.064645M, mean epr 166.34, run loss 4830.91
time 01h 42m 57s, episodes 8799, frames 2.068022M, mean epr 173.93, run loss 3972.60
time 01h 43m 07s, episodes 8807, frames 2.071317M, mean epr 202.60, run loss 4516.74
time 01h 43m 17s, episodes 8812, frames 2.074676M, mean epr -173.19, run loss 3343.94
time 01h 43m 28s, episodes 8819, frames 2.078174M, mean epr 48.26, run loss 2319.23
time 01h 43m 39s, episodes 8823, frames 2.081927M, mean epr -77.40, run loss 3348.07
time 01h 43m 51s, episodes 8828, frames 2.086052M, mean epr -34.63, run loss 3480.74
time 01h 44m 02s, episodes 8833, frames 2.089358M, mean epr 255.71, run loss 3276.31
time 01h 44m 13s, episodes 8835, frames 2.092985M, mean epr 27.32, run loss 6906.89
time 01h 44m 24s, episodes 8840, frames 2.096584M, mean epr -41.24, run loss 3352.52
time 01h 44m 34s, episodes 8862, frames 2.099998M, mean epr 112.74, run loss 2323.75
time 01h 44m 44s, episodes 8865, frames 2.103425M, mean epr 17.06, run loss 2268.69
time 01h 44m 56s, episodes 8875, frames 2.107363M, mean epr -78.75, run loss 2775.13
time 01h 45m 06s, episodes 8877, frames 2.110747M, mean epr -94.38, run loss 3930.99
time 01h 45m 16s, episodes 8889, frames 2.114234M, mean epr 148.39, run loss 3269.31
time 01h 45m 26s, episodes 8898, frames 2.117642M, mean epr -33.41, run loss 2376.14
time 01h 45m 36s, episodes 8908, frames 2.121088M, mean epr -82.76, run loss 2453.77
time 01h 45m 47s, episodes 8916, frames 2.124544M, mean epr 267.52, run loss 3687.41
time 01h 45m 57s, episodes 8921, frames 2.128020M, mean epr 171.25, run loss 4803.47
time 01h 46m 08s, episodes 8931, frames 2.131419M, mean epr 231.58, run loss 3219.55
time 01h 46m 18s, episodes 8936, frames 2.134794M, mean epr 161.08, run loss 5115.35
time 01h 46m 28s, episodes 8945, frames 2.138233M, mean epr 194.39, run loss 3259.30
time 01h 46m 38s, episodes 8951, frames 2.141576M, mean epr -19.48, run loss 3529.86
time 01h 46m 48s, episodes 8956, frames 2.144929M, mean epr -57.80, run loss 2925.54
time 01h 47m 00s, episodes 8965, frames 2.148897M, mean epr -53.33, run loss 3855.52
time 01h 47m 11s, episodes 8974, frames 2.152601M, mean epr 224.07, run loss 3627.95
time 01h 47m 23s, episodes 8978, frames 2.156400M, mean epr 39.23, run loss 3209.34
time 01h 47m 34s, episodes 8987, frames 2.160236M, mean epr -222.54, run loss 4924.26
time 01h 47m 46s, episodes 8994, frames 2.164241M, mean epr 226.58, run loss 5407.74
time 01h 47m 57s, episodes 9002, frames 2.167541M, mean epr -473.04, run loss 6902.70
time 01h 48m 07s, episodes 9011, frames 2.171116M, mean epr -41.40, run loss 2736.93
time 01h 48m 17s, episodes 9020, frames 2.174504M, mean epr -147.68, run loss 3272.46
time 01h 48m 27s, episodes 9032, frames 2.177840M, mean epr -484.41, run loss 7694.71
time 01h 48m 37s, episodes 9040, frames 2.181206M, mean epr -144.57, run loss 2882.81
time 01h 48m 48s, episodes 9055, frames 2.184665M, mean epr -200.96, run loss 3485.17
time 01h 48m 58s, episodes 9058, frames 2.187937M, mean epr -25.22, run loss 2711.78
time 01h 49m 09s, episodes 9073, frames 2.191647M, mean epr -166.98, run loss 5548.93
time 01h 49m 19s, episodes 9086, frames 2.195109M, mean epr 0.89, run loss 3049.47
time 01h 49m 29s, episodes 9102, frames 2.198694M, mean epr -165.32, run loss 2622.79
